group,iteration,flow,loss_pct,jitter_ms,bandwidth_mbps
base,26,Flow 7,71.0,8.479,0.145
base,26,Flow 8,64.0,7.03,0.182
base,26,Flow 9,0.16,4.677,0.499
base,26,Burst Flows,16.416666666666664,6.631166666666665,1.3037
base,27,Flow 1,76.0,11.111,0.117
base,27,Flow 2,0.0,0.022,0.478
base,27,Flow 3,84.0,15.748,0.0772
base,27,Flow 4,8.5,6.211,0.436
base,27,Flow 5,0.0,0.021,0.478
base,27,Flow 6,67.0,9.053,0.156
base,27,Flow 7,81.0,14.484,0.0886
base,27,Flow 8,34.0,6.258,0.314
base,27,Flow 9,20.0,5.596,0.383
base,27,Burst Flows,28.48333333333333,47.61599999999999,0.9420999999999999
base,28,Flow 1,48.0,7.001,0.244
base,28,Flow 2,89.0,29.409,0.0523
base,28,Flow 3,0.0,5.561,0.474
base,28,Flow 4,6.7,6.053,0.442
base,28,Flow 5,1.1,5.628,0.469
base,28,Flow 6,41.0,6.282,0.28
base,28,Flow 7,12.0,6.267,0.417
base,28,Flow 8,17.0,6.284,0.392
base,28,Flow 9,7.7,5.878,0.437
base,28,Burst Flows,36.166666666666664,30.364833333333333,0.8615999999999999
base,29,Flow 1,39.0,8.35,0.289
base,29,Flow 2,0.53,6.423,0.474
base,29,Flow 3,62.0,9.752,0.183
base,29,Flow 4,48.0,8.799,0.25
base,29,Flow 5,4.1,6.705,0.457
base,29,Flow 6,37.0,7.974,0.298
base,29,Flow 7,12.0,7.493,0.418
base,29,Flow 8,10.0,8.278,0.427
base,29,Flow 9,24.0,8.304,0.36
base,29,Burst Flows,32.666666666666664,23.029,1.063
base,30,Flow 1,63.0,12.581,0.176
base,30,Flow 2,48.0,9.669,0.25
base,30,Flow 3,2.0,6.798,0.469
base,30,Flow 4,70.0,15.154,0.142
base,30,Flow 5,68.0,14.004,0.155
base,30,Flow 6,68.0,14.129,0.154
base,30,Flow 7,63.0,12.474,0.176
base,30,Flow 8,51.0,10.022,0.235
base,30,Flow 9,0.0,0.026,0.48
base,30,Burst Flows,23.666666666666668,49.258,1.1053
