group,iteration,flow,loss_pct,jitter_ms,bandwidth_mbps
predictive,23,Flow 6,3.8,38.942,0.461
predictive,23,Flow 7,0.0,0.123,0.478
predictive,23,Flow 8,39.0,22.72,0.292
predictive,23,Flow 9,20.0,42.29,0.382
predictive,23,Burst Flows,26.833333333333332,29.27983333333334,1.059
predictive,24,Flow 1,6.1,23.367,0.448
predictive,24,Flow 2,15.0,27.686,0.404
predictive,24,Flow 3,0.0,31.044,0.476
predictive,24,Flow 4,7.4,34.96,0.441
predictive,24,Flow 5,0.62,29.379,0.472
predictive,24,Flow 6,2.3,30.71,0.465
predictive,24,Flow 7,0.12,24.408,0.475
predictive,24,Flow 8,21.0,30.38,0.375
predictive,24,Flow 9,0.082,33.886,0.476
predictive,24,Burst Flows,7.488333333333333,36.63466666666667,1.3359999999999999
predictive,25,Flow 1,58.0,30.901,0.22
predictive,25,Flow 2,54.0,26.857,0.24
predictive,25,Flow 3,33.0,26.03,0.352
predictive,25,Flow 4,14.0,23.59,0.448
predictive,25,Flow 5,4.4,0.987,0.502
predictive,25,Flow 6,48.0,17.617,0.274
predictive,25,Flow 7,61.0,31.441,0.205
predictive,25,Flow 8,32.0,27.183,0.355
predictive,25,Flow 9,11.0,32.045,0.469
predictive,25,Burst Flows,10.1,14.5015,1.424
predictive,26,Flow 1,7.7,20.517,0.483
predictive,26,Flow 2,13.0,23.465,0.455
predictive,26,Flow 3,7.5,25.887,0.485
predictive,26,Flow 4,9.0,17.602,0.479
predictive,26,Flow 5,25.0,23.665,0.396
predictive,26,Flow 6,18.0,28.596,0.433
predictive,26,Flow 7,11.0,25.498,0.466
predictive,26,Flow 8,16.0,16.718,0.441
predictive,26,Flow 9,9.9,14.589,0.473
predictive,26,Burst Flows,16.21,20.659666666666663,1.3310000000000002
predictive,27,Flow 1,8.2,11.577,0.482
predictive,27,Flow 2,11.0,11.056,0.466
predictive,27,Flow 3,19.0,26.755,0.425
predictive,27,Flow 4,15.0,27.669,0.447
predictive,27,Flow 5,29.0,29.944,0.374
predictive,27,Flow 6,21.0,28.957,0.411
predictive,27,Flow 7,8.8,11.691,0.479
predictive,27,Flow 8,34.0,26.417,0.344
predictive,27,Flow 9,28.0,28.701,0.376
predictive,27,Burst Flows,7.45,18.03166666666667,1.467
predictive,28,Flow 1,11.0,16.149,0.446
predictive,28,Flow 2,9.8,7.413,0.453
predictive,28,Flow 3,4.8,12.09,0.478
predictive,28,Flow 4,16.0,13.97,0.422
predictive,28,Flow 5,9.1,17.81,0.457
predictive,28,Flow 6,4.9,18.991,0.476
predictive,28,Flow 7,4.5,18.01,0.48
predictive,28,Flow 8,6.3,9.68,0.47
predictive,28,Flow 9,5.5,10.893,0.475
predictive,28,Burst Flows,8.283333333333333,16.5115,1.453
predictive,29,Flow 1,11.0,11.586,0.469
predictive,29,Flow 2,34.0,13.23,0.344
predictive,29,Flow 3,4.9,20.028,0.498
predictive,29,Flow 4,25.0,36.126,0.394
predictive,29,Flow 5,14.0,39.193,0.45
predictive,29,Flow 6,6.1,12.444,0.492
predictive,29,Flow 7,6.7,21.507,0.488
predictive,29,Flow 8,21.0,37.789,0.413
predictive,29,Flow 9,6.9,13.591,0.487
predictive,29,Burst Flows,10.885,30.917666666666666,1.415
predictive,30,Flow 1,23.0,15.187,0.384
predictive,30,Flow 2,19.0,20.172,0.408
predictive,30,Flow 3,16.0,23.012,0.421
predictive,30,Flow 4,4.1,1.315,0.482
predictive,30,Flow 5,29.0,20.104,0.358
predictive,30,Flow 6,20.0,22.751,0.401
predictive,30,Flow 7,4.0,0.509,0.483
predictive,30,Flow 8,48.0,22.242,0.26
predictive,30,Flow 9,2.9,0.374,0.488
predictive,30,Burst Flows,20.166666666666668,17.9265,1.273
